Location,Machine,Product,Category,MPrice,MQty,LineTotal,TransTotal
EB Public Library,EB Public Library x1380,Kinder - Bueno - Crispy Creamy Chocolate,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,SunChips Multigrain - Original,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Spicy Queso,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Mini Chips Ahoy,Food,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Pringles - Sour Cream & Onion,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Pringles - Cheddar Cheese,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
GuttenPlans,GuttenPlans x1367,Cheetos Puffs,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Puffs,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Mini Chips Ahoy,Food,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Simply Protein - Dark Chocolate Sea Salt,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Takis FUGEO mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,CheezIt - Original,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Goldfish Baked - Cheddar,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Lemon,Non Carbonated,2.5,1,2.5,6.0
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,6.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - French Onion,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Doritos Spicy Nacho,,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Peach,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Doritos Spicy Nacho,,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Doritos Spicy Nacho,,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Spicy Queso,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Canada Dry - Ginger Ale & Lemonde,,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Lemon,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Snapple Diet Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Kinder - Bueno - Crispy Creamy Chocolate,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Pop Corners - White Cheddar,Food,1.5,1,1.5,3.0
Earle Asphalt,Earle Asphalt x1371,CheezIt - White Cheddar,Food,1.5,1,1.5,3.0
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Doritos Spicy Nacho,,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Lenny & Larrys - Chocolate Chip,Food,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,CheezIt - White Cheddar,Food,1.5,2,3.0,4.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,4.5
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Nature's Bakery Fig Bar - Raspberry,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Nature's Bakery Fig Bar - Raspberry,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Lays - Classic,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Simply Protein - Lemon Coconut,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,1,1.25,1.25
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Lays - Classic,Food,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - White Cheddar,Food,1.5,1,1.5,3.0
Earle Asphalt,Earle Asphalt x1371,Takis FUGEO mini,Food,1.5,1,1.5,3.0
EB Public Library,EB Public Library x1380,CheezIt - Original,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,2.75,1,2.75,2.75
EB Public Library,EB Public Library x1380,Pringles - Sour Cream & Onion,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,2.75,1,2.75,2.75
Earle Asphalt,Earle Asphalt x1371,Lays - Classic,Food,2.5,1,2.5,2.5
Earle Asphalt,Earle Asphalt x1371,Doritos Spicy Nacho,,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,CheezIt - Double Cheese,Food,1.5,2,3.0,3.0
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Takis FUGEO mini,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Original,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Lenny & Larrys - SnickerDoodle,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
Earle Asphalt,Earle Asphalt x1371,Fritos - Original,Food,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Starbucks Doubleshot Energy - Coffee,,4.0,1,4.0,4.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Mini Chips Ahoy,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Nature's Bakery Fig Bar - Blueberry,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Funyuns - Flaming Hot,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Pringles - Cheddar Cheese,Food,3.0,1,3.0,3.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,SunChips Multigrain - Original,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Mini Chips Ahoy,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Poland Springs Water,Water,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,7.0
EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,2.75,2,5.5,7.0
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,1,1.25,1.25
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Pop Corners - White Cheddar,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,CheezIt - Cheddar Sour Cream and Onion,Food,1.5,1,1.5,3.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snyder's of Hanover Pretzel Pieces - Honey Mu,Food,2.0,1,2.0,3.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Nature's Garden Trail Mix - Omega 3,Food,1.0,1,1.0,1.0
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snyder's of Hanover Pretzel Pieces - Honey Mu,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Wonderful Pistachios - Variety,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,3.0
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,3.0
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Mini Chips Ahoy,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,1,1.25,1.25
EB Public Library,EB Public Library x1380,Simply Protein - Dark Chocolate Sea Salt,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Poland Springs Water,Water,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,1,1.25,1.25
EB Public Library,EB Public Library x1380,Starbucks Refresher - Real Coconut Water,Carbonated,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,CheezIt - Original,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Lays - Classic,Food,2.5,1,2.5,2.5
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Pop Corners - White Cheddar,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Hersheys Milk Chocolate,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Starbucks Refresher - Real Coconut Water,Carbonated,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Keep Healthy - Sea Salt Brownie,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Doritos Spicy Nacho,,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,CheezIt - White Cheddar,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Spicy Queso,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
Earle Asphalt,Earle Asphalt x1371,Hersheys Milk Chocolate,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Spindrift - Sparkling Water  Lime,Carbonated,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Tea - Raspberry,Non Carbonated,2.5,1,2.5,2.5
Earle Asphalt,Earle Asphalt x1371,Doritos Spicy Nacho,,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,2.75,1,2.75,2.75
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Pringles - Cheddar Cheese,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,SunChips Multigrain - Salsa,Food,1.5,1,1.5,3.0
EB Public Library,EB Public Library x1380,CheezIt - Original,Food,1.5,1,1.5,3.0
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,SunChips Multigrain - French Onion,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Starbucks Doubleshot Energy - Mocha,Non Carbonated,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,1,1.25,1.25
EB Public Library,EB Public Library x1380,CheezIt - Original,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Oreo Mini,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Pringles - Original,Food,3.0,1,3.0,3.0
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Cheetos Cheddar Jalapeno,Food,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Doritos Spicy Nacho,,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Sunkist Soda - Orange,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,4.5
EB Public Library,EB Public Library x1380,Goldfish Baked - Cheddar,Food,1.25,2,2.5,4.5
GuttenPlans,GuttenPlans x1367,Doritos Spicy Nacho,,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Takis FUGEO mini,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Oreo Mini - Go Paks,,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Oreo Mini - Go Paks,,4.0,1,4.0,4.0
EB Public Library,EB Public Library x1380,Pringles - Original,Food,3.0,1,3.0,3.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Nature's Garden Trail Mix - Heart Healthy Mix,Food,1.0,1,1.0,1.0
EB Public Library,EB Public Library x1380,Coca Cola - Zero Sugar,Carbonated,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Spicy Queso,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Bai Antioxidant - Tanzania Lemon Super Tea,Non Carbonated,2.75,1,2.75,2.75
EB Public Library,EB Public Library x1380,RXBAR - Protein Bar - Chocolate Sea Salt,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Spicy Queso,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Kinder - Bueno - Crispy Creamy Chocolate,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - French Onion,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Poland Springs Water,Water,1.5,1,1.5,1.5
GuttenPlans,GuttenPlans x1367,Red Bull - Original,Carbonated,3.5,1,3.5,3.5
GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,3.0,1,3.0,3.0
Earle Asphalt,Earle Asphalt x1371,Hersheys Milk Chocolate,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,2.0,1,2.0,2.0
GuttenPlans,GuttenPlans x1367,Coca Cola - Regular,Carbonated,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,SunChips Multigrain - Harvest Cheddar,Food,1.5,1,1.5,1.5
Earle Asphalt,Earle Asphalt x1371,Hersheys Milk Chocolate,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Orchard Bar - Variety,Food,2.0,1,2.0,2.0
Earle Asphalt,Earle Asphalt x1371,Pop Corners - Sea Salt,Food,1.5,1,1.5,1.5
EB Public Library,EB Public Library x1380,Lenny & Larrys - SnickerDoodle,Food,3.0,1,3.0,3.0
EB Public Library,EB Public Library x1380,Simply Protein - Peanut Butter Chocolate,Food,2.0,1,2.0,2.0
EB Public Library,EB Public Library x1380,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,2.0,1,2.0,2.0
Brunswick Sq Mall,BSQ Mall x1364 - Zales,Pop Corners - White Cheddar,Food,1.5,1,1.5,1.5
